徽县	HYY
红寺堡	HSJ
红山	VSB
红砂岘	VSJ
红花沟	VHD
章古台	ZGD
砀山	DKH
珠海北	ZIQ
珠海	ZHQ
砚川	YYY
章党	ZHT
章丘	ZTK
珠窝	ZOP
达家沟	DJT
达拉特旗	DIC
达拉特西	DNC
辽源	LYL
辽中	LZD
达州	RXW
辽阳	LYT
龙岩	LYS
轩岗	XGV
落坡岭	LPP
艾家村	AJJ
龙塘坝	LBM
艾河	AHP
龙沟	LGJ
龙泉寺	UQJ
都江堰	DDW
辰清	CQB
龙山镇	LAS
龙江	LJX
龙游	LMH
闽清	MQS
辰溪	CXQ
都格	DMM
轮台	LAR
龙华	LHP
落垡	LOP
龙川	LUQ
能家	NJD
龙井	LJL
都匀	RYW
龙嘉	UJL
龙南	UNG
龙爪沟	LZT
齐齐哈尔	QHX
车转湾	CWM
驼腰岭	TIL
龙骨甸	LGM
辛集	ENP
龙里	LLW
龙镇	LZA
鹤岗	HGB
鹤壁东	HFF
鹰潭	YTG
鹰手营子	YIP
费县	FXK
鹤壁	HAF
鹤北	HMB
鹿寨	LIZ
鹤庆	HQM
邹城	ZIK
鹤立	HOB
鹿道	LDL
防城港	FEZ
蒲城东	PEY
露水河	LUL
莲江口	LHB
蕲春	QRN
防城	FAZ
鲁山	LAF
蒲城	PCY
鲁番	LVM
贲红	BVC
鲅鱼圈	BYT
阳平关	YAY
阳岔	YAL
阳澄湖	AIH
阳曲	YQV
阳泉曲	YYV
阳泉	AQP
阳泉北	YPP
鳌江	ARH
阳明堡	YVV
阳新	YON
阳春	YQQ
邳州	PJH
阳城	YNF
阳邑	ARP
鸳鸯镇	YYJ
阳谷	YIK
阳高	YOV
阿图什	ATR
长征	CZJ
英德西	IIQ
裴德	PDB
英德	YDQ
豆张庄	RZP
高平	GPF
遂平	SON
西平	XPN
镇平	ZPF
读书铺	DPM
萍乡	PXG
西乡	XQY
遵义	ZIW
长岭子	CLT
黑冲滩	HCJ
西岗子	NBB
长冲	CCM
西哲里木	XRD
铁岭西     PXT
芨岭	JLJ
茅岭	MLZ
青岛	QDK
铁岭	TLT
韶关东	SGQ
赤峰	CFD
赤峰西	CID
韶关	SNQ
西峡	XIF
长坡岭	CPM
连山关	LGT
野三坡	AIP
苏州园区	KAH
阿尔山	ART
西安南	CAY
阿城	ACB
长兴南	CFH
赤壁北	CIN
蔡家坡	CJY
长山屯	CVT
褚家湾	CWJ
许三湾	XSJ
蔡家沟	CJT
苇子沟	WZL
英吉沙	YIR
苏州新区	ITH
西安北	EAY
邢台东	EDP
金山北	EGH
金城江	JJZ
钟家村	ZJY
范家屯	FTT
高山子	GSD
虎什哈	HHP
贵定南	IDW
虞城县	IXH
集宁南	JAC
金宝屯	JBD
锦州南	JOD
金山屯	JTB
胶州北	JZK
阜宁	AKH
茂名东	MDQ
马三家	MJT
阿南庄	AZM
郭家店	GDT
高各庄	GGP
苏州北	OHH
花家庄	HJM
良各庄	LGP
谭家井	TNJ
魏善庄	WSP
西大庙	XMP
镇城底	ZDV
钦州东	QDZ
青城山	QSW
青州市	QZK
金华南	RNH
鞍山	AST
苏家屯	SXT
陶家屯	TOT
许家屯	XJT
许家台	XTJ
西小召	XZC
营城子	YCT
营口东	YGT
郑州东	ZAF
郑家屯	ZJD
邵家堂	SJJ
赤壁	CBN
苍南	CEH
长城	CEJ
长农	CNJ
草市	CSL
长垣	CYF
郴州	CZQ
道州	DFZ
邓州	DOF
高楼房	GFM
芦潮港	UCH
骆驼巷	LTJ
黄松甸	HDL
襄汾	XFV
芜湖	WHH
草河口	CKT
黑河	HJB
锦河	JHB
蛟河	JHL
金河	JHX
讷河	NHX
苇河	WHB
襄河	XXB
长治北	CBF
长沙南	CWQ
金沟屯	VGP
长沙	CSQ
长治	CZF
芦沟	LOM
那曲	NQO
通沟	TOL
菏泽	HIK
黄泥河	HHL
西柳	GCT
酒泉	JQJ
阿拉山口	AKR
赛汗塔拉	SHC
长春南	CET
马桥河	MQB
超梁沟	CYP
锡林浩特	XTC
西昌南	ENW
阿克陶	AER
花棚子	HZM
阿木尔	JTX
金杖子	JYD
莫尔道嘎	MRX
里木店	LMB
阿克苏	ASR
魏杖子	WKD
鞍山西	AXT
许昌东	XVF
银浪	YJX
镇江南	ZEH
陈官营	CAJ
长春	CCT
长汀	CES
鄂州	ECN
额济纳	EJC
道清	DML
萨拉齐	SLC
霍林郭勒	HWD
长汀镇	CDB
长春西	CRT
西昌	ECW
高桥镇	GZD
西斗铺	XPC
长寿	EFW
阜新	FXD
高滩	GAY
高村	GCV
贵港	GGZ
赶水	GSW
黄柏	HBL
黄村	HCP
衡山西	HEQ
黑水	HOT
衡水	HSP
郴州西	ICQ
襄垣	EIF
金华西	JBH
金昌	JCJ
静海	JHP
蓝村	LCK
隆昌	LCW
陵水	LIQ
连江	LKS
马林	MID
茂林	MLD
贵溪	GXG
遂溪	SXZ
资溪	ZXS
黑旺	HWK
路口铺	LKQ
郫县西	PCW
黔江	QNW
荣昌	RCW
融水	RSZ
邵武	SWS
通安驿	TAJ
通海	TAM
通州西	TAP
黄梅	VEH
虎林	VLB
舍力虎	VLD
花桥	VQH
草海	WBW
许昌	XCF
西八里	XLP
谢家镇	XMT
霞浦	XOS
西宁西	XXO
西林	XYB
迎春	YYB
诸暨	ZDH
自贡	ZGW
镇江	ZJH
雨格	VTM
葛根庙	GGT
肥东	FIH
阜南	FNH
谷城	GCN
革居	GEM
藁城	GEP
高密	GMK
高州	GSQ
高台	GTJ
贵定	GTW
菇园	GYL
赣州	GZG
韩城	HCY
获嘉	HJF
黄山	HKH
黑台	HQB
衡山	HSQ
花园	HUN
霍州	HZV
集安	JAL
荆州	JBN
鄄城	JCK
靖州	JEQ
锦和	JHQ
莒县	JKK
蓟县	JKP
金坑	JKT
鸡东	JOB
莒南	JOK
胶州	JXK
锦州	JZD
金寨	JZH
金州	JZT
黄口	KOH
陆川	LKZ
芦台	LTP
黎塘	LTZ
陇县	LXY
茂名	MMZ
遂宁	NIW
营山	NUW
重庆南	CRW
重庆北	CUW
韩府湾	HXJ
连云港东	UKH
连云港	UIH
西固城	XUJ
舒城	OCH
重庆	CQW
黑井	HIM
豆庄	ROP
老府	UFD
韦庄	WZY
肇庆	ZVQ
蓬安	PAW
衢州	QEH
迁安	QQP
钦州	QRZ
青山	QSB
青县	QXP
融安	RAZ
铜仁	RDQ
霸州	RMP
首山	SAT
舒兰	SLL
邵东	SOQ
韶山	SSQ
鄯善	SSR
肃宁	SYP
苏州	SZH
随州	SZN
通北	TBB
铁厂	TCL
通化	THL
铁力	TLB
郯城	TZK
雷州	UAQ
聊城	UCK
黎城	UCP
隆化	UHP
黄州	VON
闻喜	WXV
西安	XAY
香坊	XFB
香兰	XNB
邢台	XTP
银川	YIJ
营口	YKT
运城	YNV
郓城	YPK
鸭园	YYL
赵城	ZCV
肇东	ZDB
镇安	ZEY
赵光	ZGB
诸城	ZQK
钟山	ZSZ
郑州	ZZF
资中	ZZW
蚌埠南	BMH
鸡冠山	JST
蚌埠	BBH
黄羊滩	HGJ
老羊壕	LYC
豆罗	DLV
黄羊镇	HYJ
角美	JES
那罗	ULZ
虎石台	HUT
黄石东	OSN
苍石	CST
黄石	HSN
陈相屯	CXT
营盘湾	YPC
营盘水	YZJ
黄瓜园	HYM
高碑店东	GMP
高碑店	GBP
郭磊庄	GLP
长甸	CDT
马皇	MHZ
莆田	PTS
青田	QVH
雁翅	YAP
钟祥	ZTN
通辽	TLD
靖边	JIY
老边	LLT
阿龙山	ASX
青龙寺	QSM
青龙山	QGH
马龙	MGM
莎车	SCR
马莲河	MHB
西阳村	XQF
酉阳	AFW
衡阳东	HVQ
襄阳东	XWN
长阳	CYN
耒阳西	LPQ
阜阳	FYH
贵阳	GIW
衡阳	HYQ
莱阳	LYK
耒阳	LYQ
饶阳	RVP
邵阳	SYQ
襄阳	XFN
资阳	ZYW
葫芦岛北	HPD
葫芦岛	HLD
青铜峡	QTJ
茅草坪	KPM
蒙自北	MBM
阿里河	AHX
背荫河	BYB
风陵渡	FLV
金马村	JMM
西街口	EKM
陶赖昭	TPT
蛤蟆塘	HMT
邯郸东	HPP
阿金	AJD
镜铁山	JVJ
莱芜东	LWK
马鞍山	MAH
驻马店西	ZLN
驻马店	ZDN
雁荡山	YGH
革镇堡	GZT
通远堡	TYT
茶陵	CDG
长葛	CEF
黄花筒	HUD
茂舍祖	MOM
高邑西	GNP
靖远西	JXJ
葡萄菁	PTW
莱芜西	UXK
高邑	GIP
高老	GOB
邯郸	HDP
虎门	IUQ
荆门	JMN
进贤	JUG
鸡西	JXB
靖远	JYJ
老莱	LAX
醴陵	LLG
陆良	LRM
陇西	LXJ
莱西	LXK
老营	LXL
西麻山	XMB
韩麻营	HYP
那铺	NPZ
铜陵	TJH
通道	TRQ
通途	TUT
黄陵	ULY
零陵	UWZ
范镇	VZK
营街	YAM
越西	YHW
阎良	YNY
迤资	YQM
镇赉	ZLT
镇远	ZUW
镇西	ZVT
顺德学院	OJQ
顺德	ORQ
麻尾	VAW
顺义	SOP
蔺家楼	ULK
麻城北	MBN
贺家店	HJJ
顺昌	SCS
贺州	HXZ
麻山	MAB
麻城	MCN
麦园	MYS
麻阳	MVQ
